CREATE (n:User { id:0, name: 'Harry'});
CREATE (n:User { id:120, name: 'Lucy'});
CREATE (n:User { id:121, name: 'Lenny'});
CREATE (n:User { id:122, name: 'Meredith'});
CREATE (n:User { id:123, name: 'Rodney'});
CREATE (n:User { id:124, name: 'Laura'});
CREATE (n:User { id:125, name: 'Monica'});
CREATE (n:User { id:126, name: 'Rodney'});
CREATE (n:User { id:127, name: 'Armando'});
CREATE (n:User { id:128, name: 'Jerry'});
CREATE (n:User { id:129, name: 'Laura'});
CREATE (n:User { id:130, name: 'Tom'});
CREATE (n:User { id:131, name: 'Tom'});
CREATE (n:User { id:132, name: 'Kenny'});
CREATE (n:User { id:133, name: 'Drucilla'});
CREATE (n:User { id:134, name: 'Jessica'});
CREATE (n:User { id:135, name: 'Jessica'});
CREATE (n:User { id:136, name: 'Eddy'});
CREATE (n:User { id:137, name: 'Anna'});
CREATE (n:User { id:138, name: 'Tom'});
CREATE (n:User { id:139, name: 'Peter'});
CREATE (n:User { id:140, name: 'Bruce'});
CREATE (n:User { id:141, name: 'Morty'});
CREATE (n:User { id:142, name: 'Phyllis'});
CREATE (n:User { id:143, name: 'Simon'});
CREATE (n:User { id:144, name: 'Hector'});
CREATE (n:User { id:145, name: 'Eva'});
CREATE (n:User { id:146, name: 'Phyllis'});
CREATE (n:User { id:147, name: 'Val'});
CREATE (n:User { id:148, name: 'Kelly'});
CREATE (n:User { id:149, name: 'Drucilla'});
CREATE (n:User { id:150, name: 'Donna'});
CREATE (n:User { id:151, name: 'Peter'});
CREATE (n:User { id:152, name: 'Val'});
CREATE (n:User { id:153, name: 'Tom'});
CREATE (n:User { id:154, name: 'Eric'});
CREATE (n:User { id:155, name: 'Monica'});
CREATE (n:User { id:156, name: 'Anna'});
CREATE (n:User { id:157, name: 'Tom'});
CREATE (n:User { id:158, name: 'Hector'});
CREATE (n:User { id:159, name: 'Carl'});
CREATE (n:User { id:160, name: 'Lenny'});
CREATE (n:User { id:161, name: 'Beth'});
CREATE (n:User { id:162, name: 'Jessica'});
CREATE (n:User { id:163, name: 'Eva'});
CREATE (n:User { id:164, name: 'Phyllis'});
CREATE (n:User { id:165, name: 'Monica'});
CREATE (n:User { id:166, name: 'Eric'});
CREATE (n:User { id:167, name: 'Jessica'});
CREATE (n:User { id:168, name: 'Laura'});
CREATE (n:User { id:169, name: 'Rick'});
CREATE (n:User { id:170, name: 'Anna'});
CREATE (n:User { id:171, name: 'Val'});
CREATE (n:User { id:172, name: 'Lucy'});
CREATE (n:User { id:173, name: 'Jessica'});
CREATE (n:User { id:174, name: 'Kindra'});
CREATE (n:User { id:175, name: 'Armando'});
CREATE (n:User { id:176, name: 'Summer'});
CREATE (n:User { id:177, name: 'Morty'});
CREATE (n:User { id:178, name: 'Beth'});
CREATE (n:User { id:179, name: 'Drucilla'});
CREATE (n:User { id:180, name: 'Tom'});
CREATE (n:User { id:181, name: 'Oleta'});
CREATE (n:User { id:182, name: 'Simon'});
CREATE (n:User { id:183, name: 'Oleta'});
CREATE (n:User { id:184, name: 'Sarah'});
CREATE (n:User { id:185, name: 'Oleta'});
CREATE (n:User { id:186, name: 'Peter'});
CREATE (n:User { id:187, name: 'Jerry'});
CREATE (n:User { id:188, name: 'Jona'});
CREATE (n:User { id:189, name: 'Meredith'});
CREATE (n:User { id:190, name: 'Eddy'});
CREATE (n:User { id:191, name: 'Kindra'});
CREATE (n:User { id:192, name: 'Lenny'});
CREATE (n:User { id:193, name: 'Sarah'});
CREATE (n:User { id:194, name: 'Tom'});
CREATE (n:User { id:195, name: 'Harry'});
CREATE (n:User { id:196, name: 'Jona'});
CREATE (n:User { id:197, name: 'Kelly'});
CREATE (n:User { id:198, name: 'Kindra'});
CREATE (n:User { id:199, name: 'Tom'});
CREATE (n:User { id:200, name: 'Peter'});
CREATE (n:User { id:201, name: 'Eddy'});
CREATE (n:User { id:202, name: 'Jon'});
CREATE (n:User { id:203, name: 'Bruce'});
CREATE (n:User { id:204, name: 'Jerry'});
CREATE (n:User { id:205, name: 'Morty'});
CREATE (n:User { id:206, name: 'Ron'});
CREATE (n:User { id:207, name: 'Eddy'});
CREATE (n:User { id:208, name: 'Kenny'});
CREATE (n:User { id:209, name: 'Meredith'});
CREATE (n:User { id:210, name: 'Kelly'});
CREATE (n:User { id:211, name: 'Eddy'});
CREATE (n:User { id:212, name: 'Lenny'});
CREATE (n:User { id:213, name: 'Kindra'});
CREATE (n:User { id:214, name: 'Monica'});
CREATE (n:User { id:215, name: 'Jerry'});
CREATE (n:User { id:216, name: 'Ritta'});
CREATE (n:User { id:217, name: 'Meredith'});
CREATE (n:User { id:218, name: 'Meredith'});
CREATE (n:User { id:219, name: 'Meredith'});
CREATE (n:User { id:220, name: 'Monty'});
CREATE (n:User { id:221, name: 'Lenny'});
CREATE (n:User { id:222, name: 'Peter'});
CREATE (n:User { id:223, name: 'Lenny'});
CREATE (n:User { id:224, name: 'Simon'});
CREATE (n:User { id:225, name: 'Sarah'});
CREATE (n:User { id:226, name: 'Rick'});
CREATE (n:User { id:227, name: 'Beth'});
CREATE (n:User { id:228, name: 'Ritta'});
CREATE (n:User { id:229, name: 'Jerry'});
CREATE (n:User { id:230, name: 'Kelly'});
CREATE (n:User { id:231, name: 'Eddy'});
CREATE (n:User { id:232, name: 'Harry'});
CREATE (n:User { id:233, name: 'Peter'});
CREATE (n:User { id:234, name: 'Kindra'});
CREATE (n:User { id:235, name: 'Ron'});
CREATE (n:User { id:236, name: 'Jon'});
CREATE (n:User { id:237, name: 'Laura'});
CREATE (n:User { id:238, name: 'Simon'});
CREATE (n:User { id:239, name: 'Rick'});
CREATE (n:User { id:240, name: 'Angela'});
CREATE (n:User { id:241, name: 'Jon'});
CREATE (n:User { id:242, name: 'Peter'});
CREATE (n:User { id:243, name: 'Simon'});
CREATE (n:User { id:244, name: 'Drucilla'});
CREATE (n:User { id:245, name: 'Carl'});
CREATE (n:User { id:246, name: 'Meredith'});
CREATE (n:User { id:247, name: 'Jerry'});
CREATE (n:User { id:248, name: 'Eric'});
CREATE (n:User { id:249, name: 'Rick'});
CREATE (n:User { id:250, name: 'Tom'});
CREATE (n:User { id:251, name: 'Summer'});
CREATE (n:User { id:252, name: 'Angela'});
CREATE (n:User { id:253, name: 'Armando'});
CREATE (n:User { id:254, name: 'Rick'});
CREATE (n:User { id:255, name: 'Ritta'});
CREATE (n:User { id:256, name: 'Rick'});
CREATE (n:User { id:257, name: 'Eva'});
CREATE (n:User { id:258, name: 'Laura'});
CREATE (n:User { id:259, name: 'Carl'});
CREATE (n:User { id:260, name: 'Phyllis'});
CREATE (n:User { id:261, name: 'Tom'});
CREATE (n:User { id:262, name: 'Peter'});
CREATE (n:User { id:263, name: 'Jona'});
CREATE (n:User { id:264, name: 'Lucy'});
CREATE (n:User { id:265, name: 'Armando'});
CREATE (n:User { id:266, name: 'Rick'});
CREATE (n:User { id:267, name: 'Kenny'});
CREATE (n:User { id:268, name: 'Lenny'});
CREATE (n:User { id:269, name: 'Monica'});
CREATE (n:User { id:270, name: 'Armando'});
CREATE (n:User { id:271, name: 'Sarah'});
CREATE (n:User { id:272, name: 'Beth'});
CREATE (n:User { id:273, name: 'Peter'});
CREATE (n:User { id:274, name: 'Jona'});
CREATE (n:User { id:275, name: 'Donna'});
CREATE (n:User { id:276, name: 'Angela'});
CREATE (n:User { id:277, name: 'Lucy'});
CREATE (n:User { id:278, name: 'Anna'});
CREATE (n:User { id:279, name: 'Bruce'});
CREATE (n:User { id:280, name: 'Eva'});
CREATE (n:User { id:281, name: 'Eddy'});
CREATE (n:User { id:282, name: 'Armando'});
CREATE (n:User { id:283, name: 'Ron'});
CREATE (n:User { id:284, name: 'Summer'});
CREATE (n:User { id:285, name: 'Kelly'});
CREATE (n:User { id:286, name: 'Jona'});
CREATE (n:User { id:287, name: 'Oleta'});
CREATE (n:User { id:288, name: 'Bruce'});
CREATE (n:User { id:289, name: 'Summer'});
CREATE (n:User { id:290, name: 'Eddy'});
CREATE (n:User { id:291, name: 'Lenny'});
CREATE (n:User { id:292, name: 'Meredith'});
CREATE (n:User { id:293, name: 'Peter'});
CREATE (n:User { id:294, name: 'Donna'});
CREATE (n:User { id:295, name: 'Monty'});
CREATE (n:User { id:296, name: 'Peter'});
CREATE (n:User { id:297, name: 'Ritta'});
CREATE (n:User { id:298, name: 'Angela'});
CREATE (n:User { id:299, name: 'Jon'});
MATCH (a:User),(b:User) WHERE a.id = 0 AND b.id = 296 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 1 AND b.id = 79 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 2 AND b.id = 22 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 3 AND b.id = 48 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 4 AND b.id = 108 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 5 AND b.id = 289 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 6 AND b.id = 29 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 7 AND b.id = 24 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 8 AND b.id = 226 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 9 AND b.id = 215 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 10 AND b.id = 19 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 11 AND b.id = 160 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 12 AND b.id = 23 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 13 AND b.id = 282 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 14 AND b.id = 247 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 15 AND b.id = 61 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 16 AND b.id = 2 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 17 AND b.id = 46 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 18 AND b.id = 194 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 19 AND b.id = 229 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 20 AND b.id = 151 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 21 AND b.id = 5 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 22 AND b.id = 114 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 23 AND b.id = 258 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 24 AND b.id = 260 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 25 AND b.id = 289 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 26 AND b.id = 35 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 27 AND b.id = 294 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 28 AND b.id = 230 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 29 AND b.id = 211 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 30 AND b.id = 155 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 31 AND b.id = 56 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 32 AND b.id = 153 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 33 AND b.id = 115 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 34 AND b.id = 45 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 35 AND b.id = 44 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 36 AND b.id = 148 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 37 AND b.id = 299 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 38 AND b.id = 195 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 39 AND b.id = 223 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 40 AND b.id = 177 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 41 AND b.id = 65 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 42 AND b.id = 8 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 43 AND b.id = 180 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 44 AND b.id = 7 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 45 AND b.id = 18 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 46 AND b.id = 198 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 47 AND b.id = 100 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 48 AND b.id = 125 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 49 AND b.id = 83 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 50 AND b.id = 294 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 51 AND b.id = 39 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 52 AND b.id = 277 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 53 AND b.id = 244 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 54 AND b.id = 36 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 55 AND b.id = 193 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 56 AND b.id = 90 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 57 AND b.id = 285 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 58 AND b.id = 79 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 59 AND b.id = 102 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 60 AND b.id = 118 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 61 AND b.id = 269 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 62 AND b.id = 80 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 63 AND b.id = 157 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 64 AND b.id = 288 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 65 AND b.id = 71 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 66 AND b.id = 245 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 67 AND b.id = 130 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 68 AND b.id = 93 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 69 AND b.id = 128 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 70 AND b.id = 106 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 71 AND b.id = 84 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 72 AND b.id = 81 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 73 AND b.id = 122 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 74 AND b.id = 160 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 75 AND b.id = 24 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 76 AND b.id = 137 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 77 AND b.id = 194 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 78 AND b.id = 131 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 79 AND b.id = 140 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 80 AND b.id = 149 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 81 AND b.id = 47 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 82 AND b.id = 43 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 83 AND b.id = 208 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 84 AND b.id = 107 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 85 AND b.id = 263 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 86 AND b.id = 26 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 87 AND b.id = 26 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 88 AND b.id = 4 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 89 AND b.id = 56 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 90 AND b.id = 282 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 91 AND b.id = 15 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 92 AND b.id = 32 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 93 AND b.id = 144 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 94 AND b.id = 66 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 95 AND b.id = 166 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 96 AND b.id = 200 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 97 AND b.id = 51 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 98 AND b.id = 97 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 99 AND b.id = 180 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 100 AND b.id = 203 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 101 AND b.id = 77 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 102 AND b.id = 249 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 103 AND b.id = 117 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 104 AND b.id = 69 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 105 AND b.id = 76 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 106 AND b.id = 114 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 107 AND b.id = 15 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 108 AND b.id = 64 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 109 AND b.id = 241 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 110 AND b.id = 42 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 111 AND b.id = 294 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 112 AND b.id = 131 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 113 AND b.id = 161 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 114 AND b.id = 43 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 115 AND b.id = 252 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 116 AND b.id = 9 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 117 AND b.id = 94 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 118 AND b.id = 286 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 119 AND b.id = 254 CREATE (a)-[r:FRIENDS]->(b);
MATCH (a:User),(b:User) WHERE a.id = 120 AND b.id = 120 CREATE (a)-[r:FRIENDS]->(b);
